102
9.960938 , 1, 1, 0
19.92188 , 2, 1, 0
26.95313 , 1, 1, 0
32.81253 , 1, 1, 0
37.50003 , 2, 1, 0
43.35938 , 1, 1, 0
44.53125 , 2, 1, 0
45.70313 , 2, 1, 0
46.875 , 2, 1, 0
48.04688 , 1, 1, 0
57.42188 , 1, 1, 0
64.45313 , 2, 1, 0
69.14063 , 1, 1, 0
73.82813 , 2, 1, 0
80.85938 , 1, 1, 0
85.54688 , 2, 1, 0
94.92188 , 2, 1, 0
97.26563 , 1, 1, 0
101.9531 , 2, 1, 0
106.6406 , 1, 1, 0
108.9844 , 2, 1, 0
111.3281 , 1, 1, 0
118.3594 , 2, 1, 0
123.0469 , 2, 1, 0
132.4219 , 2, 1, 0
139.4531 , 2, 1, 0
145.3125 , 1, 1, 0
148.8281 , 2, 1, 0
155.8594 , 1, 1, 0
160.5469 , 2, 1, 0
162.8906 , 2, 1, 0
165.2344 , 2, 1, 0
167.5781 , 2, 1, 0
169.9219 , 1, 1, 0
172.2656 , 2, 1, 0
174.6094 , 2, 1, 0
176.9531 , 1, 1, 0
181.6406 , 2, 1, 0
183.9844 , 2, 1, 0
186.3281 , 1, 1, 0
193.3594 , 2, 1, 0
198.0469 , 2, 1, 0
200.3906 , 2, 1, 0
202.7344 , 2, 1, 0
205.0781 , 2, 1, 0
207.4219 , 1, 1, 0
209.7656 , 2, 1, 0
212.1094 , 2, 1, 0
214.4531 , 1, 1, 0
219.1406 , 2, 1, 0
223.8281 , 2, 1, 0
230.8594 , 2, 1, 0
235.5469 , 2, 1, 0
240.2344 , 2, 1, 0
244.9219 , 2, 1, 0
249.6094 , 2, 1, 0
251.9531 , 1, 1, 0
254.2969 , 2, 1, 0
256.6406 , 1, 1, 0
258.9844 , 2, 1, 0
261.3281 , 1, 1, 0
263.6719 , 2, 1, 0
268.3594 , 2, 1, 0
268.3594 , 1, 1, 0
273.0469 , 2, 1, 0
273.0469 , 1, 1, 0
275.3906 , 2, 1, 0
277.7344 , 2, 1, 0
280.0781 , 2, 1, 0
282.4219 , 2, 1, 0
283.5938 , 2, 1, 0
284.7656 , 2, 1, 0
285.9375 , 2, 1, 0
287.1094 , 2, 1, 0
288.2813 , 2, 1, 0
289.4531 , 2, 2, 1
298.8281 , 2, 2, 2
305.8594 , 1, 1, 0
307.0313 , 2, 1, 0
309.375 , 2, 1, 0
312.8906 , 2, 1, 0
315.2344 , 2, 1, 0
316.4063 , 1, 1, 0
318.75 , 2, 1, 0
322.2656 , 2, 1, 0
324.6094 , 2, 1, 0
325.7813 , 1, 1, 0
328.125 , 2, 1, 0
331.6406 , 1, 1, 0
333.9844 , 2, 1, 0
335.1563 , 1, 1, 0
337.5 , 2, 1, 0
343.3594 , 2, 1, 0
344.5313 , 1, 1, 0
346.875 , 2, 1, 0
350.3906 , 1, 1, 0
352.7344 , 2, 1, 0
353.9063 , 1, 1, 0
356.25 , 2, 1, 0
359.7656 , 1, 1, 0
362.1094 , 2, 1, 0
363.2813 , 1, 1, 0
