32
0 , 2, 1, 0, 0
3.846154 , 1, 1, 0, 0
7.692308 , 2, 1, 0, 0
11.53846 , 1, 1, 0, 0
15.38462 , 2, 1, 0, 0
19.23077 , 2, 1, 0, 0
23.07693 , 1, 1, 0, 0
26.92309 , 1, 1, 0, 0
30.76925 , 2, 1, 0, 0
34.6154 , 1, 1, 0, 0
38.46156 , 1, 1, 0, 0
42.30772 , 2, 1, 0, 0
46.15387 , 1, 1, 0, 0
50.00002 , 2, 1, 0, 0
53.84618 , 1, 1, 0, 0
57.69233 , 1, 1, 0, 0
61.53847 , 1, 1, 0, 0
61.53847 , 2, 1, 0, 0
64.42308 , 1, 1, 0, 0
64.42308 , 2, 1, 0, 0
69.23076 , 2, 1, 0, 0
73.0769 , 1, 1, 0, 0
74.03844 , 2, 1, 0, 0
76.92305 , 1, 1, 0, 0
76.92305 , 2, 1, 0, 0
79.80766 , 1, 1, 0, 0
79.80766 , 2, 1, 0, 0
84.61533 , 2, 1, 0, 0
85.57687 , 1, 2, 1, 0
88.46147 , 2, 2, 1, 0
99.99991 , 1, 2, 2, 0
99.99991 , 2, 2, 2, 0
